Postal Code,#,kWh,$,kWh,$,kWh,$,kWh,$,kWh,$,kWh,$,kWh,$,kWh,$,,
H2J 2G6,1671,16230,1580,,,,,,,,,,,,,,,,
H2j 3W8,4215,19060,1880,,,,,,,,,,,,,,,,
H2j 3W8,4221,15520,1530,,,,,,,,,,,,,,,,
H2j 3W8,4217,9310,4217,,,,,,,,,,,,,,,,
H2j 3W8,4219,10880,1030,,,,,,,,,,,,,,,,
H2j 3W8,4223,10530,1000,5580,590,10120,970,,,,,,,,,,,,
H2j 3W8,4229,12740,1220,,,,,,,,,,,,,,,,
H2j 3W8,4231,6800,680,,,,,,,,,,,,,,,,
H2j 3W8,4235,17010,1630,12660,1210,14080,1330,,,,,,,,,,,,
H2j 3W8,4239,1530,290,,,,,,,,,,,,,,,,
H2j 3W8,4245,6860,610,4250,490,2390,360,3930,470,2120,340,880,250,1030,260,2480,360,1600,300
H2j 3W8,4253,4250,490,,,,,,,,,,,,,,,,
H2j 3W8,4255,6680,670,,,,,,,,,,,,,,,,
H2j 3W8,4257,21110,2120,,,,,,,,,,,,,,,,
H2j 3W8,4261,9330,860,,,,,,,,,,,,,,,,
H2j 3W8,4263,6450,660,,,,,,,,,,,,,,,,
H2j 3W8,4265,11880,1160,,,,,,,,,,,,,,,,
H2j 3W8,4269,9090,850,,,,,,,,,,,,,,,,
H2j 3W8,4273,24000,2460,,,,,,,,,,,,,,,,
H2j 3W8,4285,38950,4070,,,,,,,,,,,,,,,,
H2j 3W8,4301,4660,520,,,,,,,,,,,,,,,,
