,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
0,REM19,1250,253,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5836369225826, 45.5024755440854], [-73.5839221888831, 45.5020983541694], [-73.5835395143121, 45.5019136990355], [-73.5834603029607, 45.5020224684924], [-73.5832896156448, 45.5019400694843], [-73.5830143418271, 45.502224197803], [-73.5830932422293, 45.5022620274921], [-73.5834149711089, 45.5024163109957], [-73.5834240189306, 45.5023964159348], [-73.5836369225826, 45.5024755440854]]]}",0,34,1000,Logement,0,0,50,9840-22-7858-8-001-0103,avenue des Pins Ouest  (MTL),1250,1038640,Condominium,   1040,1979,0129.01
4,REM19,2212,354,6,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5844595637594, 45.4907511784624], [-73.5844009654894, 45.4908012579855], [-73.5846389258426, 45.4909398514074], [-73.5846979456146, 45.4908894114781], [-73.5844595637594, 45.4907511784624]]]}",8,178,1000,Logement,0,3,50,9838-19-9094-8-000-0000,boulevard De Maisonneuve Ouest  (MTL+WMT),2214,1037770,Régulier,0,1900,0065.02
5,REM19,2208,198,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5843433155169, 45.4908504368461], [-73.5845813813289, 45.4909889403156], [-73.5846389258426, 45.4909398514074], [-73.5844009654894, 45.4908012579855], [-73.5843433155169, 45.4908504368461]]]}",9,173,1000,Logement,0,2,50,9838-19-9599-6-000-0000,boulevard De Maisonneuve Ouest  (MTL+WMT),2208,1037771,Régulier,0,1900,0065.02
6,REM19,2204,189,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5842890381551, 45.4908968233999], [-73.5845272095574, 45.4910353269032], [-73.5845813813289, 45.4909889403156], [-73.5843433155169, 45.4908504368461], [-73.5842890381551, 45.4908968233999]]]}",10,166,1000,Logement,0,2,50,9839-10-9905-2-000-0000,boulevard De Maisonneuve Ouest  (MTL+WMT),2206,1037773,Régulier,0,1900,0065.02
8,REM19,3480,407,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5840493638705, 45.4984733411763], [-73.5841601046247, 45.4983502391203], [-73.5842672624106, 45.4982310992925], [-73.5843554538563, 45.4981330317476], [-73.5844435394555, 45.4980349642112], [-73.5845897832055, 45.4978701686852], [-73.5841254317949, 45.4976752266276], [-73.5840571411459, 45.4977419617699], [-73.5838505790013, 45.4976573401046], [-73.5836979978991, 45.4978198895071], [-73.5833750242919, 45.4981637192468], [-73.5840493638705, 45.4984733411763]]]}",16,17,1000,Logement,0,1,50,9839-27-3597-7-001-0314,rue Simpson  (MTL),3480,1039817,Condominium,    808,1972,0129.01
16,REM19,1947,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5827629944739, 45.493338103931], [-73.5828494223646, 45.4932642468988], [-73.5828604579253, 45.4932333712448], [-73.5828295751476, 45.4931873171507], [-73.5825181000541, 45.4930077362671], [-73.5823856116097, 45.493120503322], [-73.5827629944739, 45.493338103931]]]}",39,65,1000,Logement,0,1,50,9839-32-4151-2-001-0010,boulevard De Maisonneuve Ouest  (MTL+WMT),1947,1037737,Condominium,      7,1910,0065.01
18,REM19,1824,1868,16,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5795296201583, 45.493426254301], [-73.5796622203011, 45.4933133105006], [-73.5796262044147, 45.4932923672088], [-73.579274813191, 45.4930879671931], [-73.5791430578103, 45.4932014499218], [-73.5795296201583, 45.493426254301]]]}",50,633,1000,Logement,0,3,50,9839-52-9361-0-000-0000,rue Sainte-Catherine Ouest  (MTL+WMT),1824,1002629,Régulier,0,1934,0066.01
42,REM19,1535,2780,23,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5841878360584, 45.4975537799901], [-73.5836863105306, 45.4973397849945], [-73.5835327316319, 45.4975410319407], [-73.5838505790013, 45.4976573401046], [-73.5840571411459, 45.4977419617699], [-73.5841254317949, 45.4976752266276], [-73.5841034656931, 45.4976659735155], [-73.5841878360584, 45.4975537799901]]]}",120,1122,1000,Logement,0,4,50,9839-27-4438-3-000-0000,avenue Summerhill  (MTL),1535,1039490,Régulier,0,1940,0129.01
52,REM19,1321,29113,136,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5800030000017, 45.5001822450384], [-73.5803625016059, 45.4998227404739], [-73.5801619374066, 45.499726858819], [-73.5800379447513, 45.4996674603613], [-73.5801586202246, 45.4995461551102], [-73.5800587080419, 45.4994981688898], [-73.5799813978275, 45.4994611459105], [-73.5793842531708, 45.4991747546011], [-73.5789071334673, 45.4996563680068], [-73.5800030000017, 45.5001822450384]]]}",141,6275,1000,Logement,0,14,50,9839-59-7475-5-000-0000,rue Sherbrooke Ouest  (MTL+MTO+WMT),1321,1003047,Régulier,0,1925,0129.02
53,REM19,1235,404,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5819311523454, 45.4897445562015], [-73.5817900684822, 45.489892696123], [-73.5818692666293, 45.4899299865667], [-73.5820092943423, 45.4897813073473], [-73.5819311523454, 45.4897445562015]]]}",143,36,1000,Logement,0,1,50,9838-38-9882-6-001-0003,rue du Sussex  (MTL),1235,1002503,Condominium,0,1900,0066.02
