,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
23,REM05,325,188,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6031774738135, 45.5186820411321], [-73.6033688149768, 45.5184685853362], [-73.6032831209872, 45.5184305959155], [-73.6030916740492, 45.5186440516648], [-73.6031774738135, 45.5186820411321]]]}",401,222,1000,Logement,0,2,50,9642-70-3576-9-000-0000,avenue Bloomfield  (OUT),325,3030337,Régulier,0,1912,0363.00
81,REM05,1490,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6110850772401, 45.517195234137], [-73.6113047280183, 45.5169536597128], [-73.6109759905085, 45.5168059414386], [-73.6107567603175, 45.5170470648653], [-73.6110850772401, 45.517195234137]]]}",1781,56,1000,Logement,0,1,50,9641-19-2505-8-001-0006,avenue Bernard  (OUT),1490,5143496,Condominium,      2,1924,0362.00
90,REM05,5506,152,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6029251720377, 45.5204951723137], [-73.6029905804836, 45.5205240910158], [-73.6032075314156, 45.5202812748401], [-73.6031421229758, 45.5202522662683], [-73.6029251720377, 45.5204951723137]]]}",2103,193,1000,Logement,0,2,50,9642-72-4981-6-000-0000,avenue Durocher  (OUT),5506,3032970,Régulier,0,1908,0363.00
112,REM05,1120,122,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6072441938799, 45.5215807408836], [-73.6076174817367, 45.5211617437656], [-73.6072880971975, 45.5210147355384], [-73.6069149134483, 45.5214337314934], [-73.6072441938799, 45.5215807408836]]]}",2314,35,1000,Logement,0,1,50,9642-43-2081-8-001-0030,avenue Bernard  (OUT),1120,3030176,Condominium,     23,1925,0363.00
162,REM05,460,245,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.608600192469, 45.5169570728597], [-73.6085862443368, 45.5169507866252], [-73.6084797313506, 45.5169027416902], [-73.6081994661662, 45.517198543761], [-73.6083168723189, 45.5172562078526], [-73.608600192469, 45.5169570728597]]]}",3127,432,1000,Logement,0,2,50,9641-39-3112-0-000-0000,avenue Wiseman  (OUT),460,3037645,Régulier,0,1913,0362.00
216,REM05,261,168,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6012185860107, 45.5191112591795], [-73.6011178882201, 45.5190666219697], [-73.6009330704243, 45.5192733187536], [-73.6009885441601, 45.5192979277345], [-73.6010337684381, 45.5193179561245], [-73.6012185860107, 45.5191112591795]]]}",4236,248,1000,Logement,0,2,50,9642-91-0447-2-000-0000,avenue Querbes  (OUT),261,3033824,Régulier,0,1911,0363.00
224,REM05,5640,232,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6044740054965, 45.5217723826729], [-73.6043915813715, 45.5217357410056], [-73.6041830565171, 45.5219675725747], [-73.6042654808459, 45.5220042143909], [-73.6044740054965, 45.5217723826729]]]}",4436,232,1000,Logement,0,2,50,9642-64-5044-9-000-0000,rue Hutchison  (MTL+OUT),5642,3033462,Régulier,0,1911,0363.00
315,REM05,433,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5964078215733, 45.5169440729828], [-73.5962040033553, 45.5171779388785], [-73.5966323354515, 45.5173609909923], [-73.5966477948399, 45.5173675980424], [-73.5968315507654, 45.5171642754703], [-73.5968555010016, 45.5171377746503], [-73.5964078215733, 45.5169440729828]]]}",8396,67,1000,Logement,0,1,50,9741-29-5921-1-000-0042,boulevard Saint-Joseph Ouest  (MTL+OUT),433,5266242,Condominium,     14,1939,0363.00
347,REM05,417,316,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5958653743823, 45.5175664719119], [-73.5960352641516, 45.5176379634505], [-73.5960779484282, 45.5176561960884], [-73.5962938071005, 45.5177523965779], [-73.5964061311716, 45.5176226222684], [-73.5962506072809, 45.5175557088085], [-73.5961884818293, 45.5175286733159], [-73.595978121989, 45.5174370576347], [-73.5958653743823, 45.5175664719119]]]}",11119,44,1000,Logement,0,1,50,9741-29-8968-9-001-0013,boulevard Saint-Joseph Ouest  (MTL+OUT),417,3106276,Condominium,     14,1909,0363.00
355,REM05,1060,344,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.599095252942, 45.5185031500653], [-73.5989975169574, 45.5184601282817], [-73.5988087963976, 45.5186722245976], [-73.5989047363408, 45.5187144381614], [-73.599095252942, 45.5185031500653]]]}",11716,34,1000,Logement,0,1,50,9742-00-6978-9-001-0007,avenue Fairmount Ouest  (MTL+OUT),1060,5065716,Condominium,      6,1911,0363.00
361,REM05,285,194,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6028163789789, 45.5176310713583], [-73.6028567422456, 45.5176490335741], [-73.603076951991, 45.5174042347482], [-73.6029549117374, 45.5173499891747], [-73.6027347016735, 45.5175947877678], [-73.6028163789789, 45.5176310713583]]]}",12203,365,1000,Logement,0,2,50,9641-79-6058-8-000-0000,avenue McDougall  (OUT),285,3033721,Régulier,0,1940,0362.00
