,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
4,REM21,2025,351,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5730138414725, 45.5350500319522], [-73.5731042984104, 45.5350923605603], [-73.5731320688019, 45.5350884731083], [-73.5731753098058, 45.5350429092198], [-73.5728502570417, 45.5348905797128], [-73.5727958362499, 45.5349477596352], [-73.5730138414725, 45.5350500319522]]]}",90,231,1000,Logement,0,3,50,9943-09-9900-5-000-0000,avenue du Mont-Royal Est  (MTL),2029,1034308,Régulier,0,1910,0156.00
5,REM21,2019,422,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5731753098058, 45.5350429092198], [-73.573229624578, 45.534985639193], [-73.5729047832164, 45.534833309704], [-73.5728502570417, 45.5348905797128], [-73.5731753098058, 45.5350429092198]]]}",92,232,1000,Logement,0,3,50,9943-08-9594-8-000-0000,avenue du Mont-Royal Est  (MTL),2023,1034311,Régulier,0,1900,0156.00
6,REM21,2015,511,4,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5729047832164, 45.534833309704], [-73.573229624578, 45.534985639193], [-73.573283833981, 45.5349286391847], [-73.5731861912876, 45.534882895607], [-73.5729589928017, 45.5347763098484], [-73.5729047832164, 45.534833309704]]]}",93,234,1000,Logement,0,3,50,9943-08-9188-9-000-0000,avenue du Mont-Royal Est  (MTL),2017,1034313,Régulier,0,1926,0156.00
13,REM21,1656,575,7,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5799243230097, 45.5345294790686], [-73.579650300659, 45.5344031410133], [-73.5795810186162, 45.5344760832211], [-73.5798550412939, 45.5346025114332], [-73.5799243230097, 45.5345294790686]]]}",181,250,1000,Logement,0,3,50,9843-58-7146-6-000-0000,boulevard Saint-Joseph Est  (MTL),1656,1034596,Régulier,0,1929,0157.00
20,REM21,4302,394,3,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5699580334251, 45.5335290011997], [-73.5698780421209, 45.5334912533052], [-73.5696613024283, 45.5337202366306], [-73.5697423505428, 45.5337584339927], [-73.5699580334251, 45.5335290011997]]]}",198,232,1000,Logement,0,3,50,9943-37-4848-2-000-0000,avenue De Lorimier  (MTL),4306,1031941,Régulier,0,1910,0148.00
21,REM21,1557,164,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5793091601162, 45.5333339074426], [-73.5796361218622, 45.5334859473044], [-73.5796811481414, 45.5334378599053], [-73.5795896324828, 45.5333952672528], [-73.57935408082, 45.5332857302519], [-73.5793091601162, 45.5333339074426]]]}",210,196,1000,Logement,0,2,50,9843-57-9122-7-000-0000,rue Gilford  (MTL),1557,1034551,Régulier,0,1910,0157.00
33,REM21,1892,322,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5767066453048, 45.5353178593932], [-73.5770012738255, 45.5354546297289], [-73.5770625455655, 45.5353901537956], [-73.5767680228437, 45.5352533835453], [-73.5767066453048, 45.5353178593932]]]}",353,229,1000,Logement,0,3,50,9843-79-9541-2-000-0000,rue Gilford  (MTL),1898,1034449,Régulier,0,1910,0156.00
34,REM21,1900,324,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5766468493374, 45.5353805342967], [-73.5769414781635, 45.5355173947773], [-73.5770012738255, 45.5354546297289], [-73.5767066453048, 45.5353178593932], [-73.5766468493374, 45.5353805342967]]]}",354,229,1000,Logement,0,3,50,9843-89-0048-6-000-0000,rue Gilford  (MTL),1906,1034451,Régulier,0,1910,0156.00
39,REM21,1829,166,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5779393535287, 45.5350289590519], [-73.5777647754028, 45.5349487147389], [-73.5777100433292, 45.5350063471764], [-73.5778850448649, 45.5350872212309], [-73.5779393535287, 45.5350289590519]]]}",386,124,1000,Logement,0,2,50,9843-79-2103-8-000-0000,rue Gilford  (MTL),1831,1034512,Régulier,0,1920,0156.00
89,REM21,1985,418,3,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5766756976439, 45.5360921754284], [-73.5770014019355, 45.5362449435415], [-73.5770512841743, 45.5361919943358], [-73.57692013642, 45.5361309778344], [-73.5769211909435, 45.5361298072223], [-73.5767654195329, 45.5360567481297], [-73.5767642593959, 45.5360579188114], [-73.5767257921338, 45.5360398561682], [-73.5766756976439, 45.5360921754284]]]}",833,217,1000,Logement,0,0,50,9844-70-9728-2-000-0000,rue Gilford  (MTL),1989,1034500,Régulier,0,1932,0156.00
