index,ID_UEV,postal_code,tract,street_name,street_number
47,1040586,H2L 4S3,50.0,rue Sherbrooke Est  (MTE+MTL),1100
48,1040588,H2L 1L7,50.0,rue Sherbrooke Est  (MTE+MTL),1180
352,1034448,H2K 4G1,149.0,rue Cartier  (MTL),3585
564,1034485,H2K 4G1,149.0,rue Cartier  (MTL),3443
565,1034487,H2K 4G1,149.0,rue Cartier  (MTL),3437
573,1034720,H2K 4B6,149.0,rue Dorion  (MTL),3444
577,1034722,H2K 4B6,149.0,rue Dorion  (MTL),3450
624,1035305,H2K 1A4,149.0,rue Gauthier  (MTL),1891
752,1034758,H2K 4B6,149.0,rue Dorion  (MTL),3582
841,1034489,H2K 4G1,149.0,rue Cartier  (MTL),3431
1216,1112963,H2K 4J6,49.0,avenue Papineau  (MTL),2250
1277,1035378,H2K 1B3,48.0,rue Sherbrooke Est  (MTE+MTL),1850
1307,1035380,H2K 1B3,48.0,rue Sherbrooke Est  (MTE+MTL),1834
1308,1035381,H2K 1B3,48.0,rue Sherbrooke Est  (MTE+MTL),1816
1435,1034414,H2K 4G3,149.0,rue Cartier  (MTL),4103
1437,1035330,H2K 1A3,149.0,rue Gauthier  (MTL),1882
1528,1034369,H2K 4G2,149.0,rue Cartier  (MTL),3562
1529,1034371,H2K 4G2,149.0,rue Cartier  (MTL),3570
1561,1034766,H2K 4B9,149.0,rue Dorion  (MTL),4020
1567,1035333,H2K 1A2,149.0,rue Gauthier  (MTL),1836
1568,1035334,H2K 1A2,149.0,rue Gauthier  (MTL),1830
1946,1034467,H2K 4G1,149.0,rue Cartier  (MTL),3513
2063,1035396,H2L 1M4,49.0,rue Sherbrooke Est  (MTE+MTL),1360
2066,1034716,H2K 4B6,149.0,rue Dorion  (MTL),3430
2143,1035398,H2L 3A6,49.0,rue Sherbrooke Est  (MTE+MTL),1344
2186,1034840,H2K 4B7,149.0,rue Dorion  (MTL),3541
2257,1034738,H2K 4B6,149.0,rue Dorion  (MTL),3516
2238,1034842,H2K 4B7,149.0,rue Dorion  (MTL),3535
2258,1034740,H2K 4B6,149.0,rue Dorion  (MTL),3518
