ID_UEV,street_number,postal_code,Error_Code,Price,Consumption
2043512,12030,H1E 4B5,0,"3,200",30700
2043512,12030,H1E 4B5,0,"3,200",30700
2007636,12375,H1E 1Y7,0,"2,990",28790
2043512,12030,H1E 4B5,0,"3,200",30700
2007636,12375,H1E 1Y7,0,"2,990",28790
2042670,12377,H1E 1Z8,0,"1,310",13570
2043512,12030,H1E 4B5,0,"3,200",30700
2007636,12375,H1E 1Y7,0,"2,990",28790
2042670,12377,H1E 1Z8,0,"1,310",13570
2004842,12074,H1E 6B1,0,"2,180",21620
2006813,12367,H1E 1X7,0,"1,780",18310
2105637,8472,H1E 4C3,0,"1,880",19590
2105637,8472,H1E 4C3,0,"1,880",19590
2004649,12128,H1E 6B2,0,"3,130",30620
2105637,8472,H1E 4C3,0,"1,880",19590
2004649,12128,H1E 6B2,0,"3,130",30620
2006764,12223,H1E 1X7,0,"2,970",29030
2105637,8472,H1E 4C3,0,"1,880",19590
2004649,12128,H1E 6B2,0,"3,130",30620
2006764,12223,H1E 1X7,0,"2,970",29030
2044214,11865,H1E 6G2,0,"2,740",26340
2105637,8472,H1E 4C3,0,"1,880",19590
2004649,12128,H1E 6B2,0,"3,130",30620
2006764,12223,H1E 1X7,0,"2,970",29030
2044214,11865,H1E 6G2,0,"2,740",26340
2019252,11705,H1E 2Z2,0,"2,260",21940
2105637,8472,H1E 4C3,0,"1,880",19590
2004649,12128,H1E 6B2,0,"3,130",30620
2006764,12223,H1E 1X7,0,"2,970",29030
2044214,11865,H1E 6G2,0,"2,740",26340
2019252,11705,H1E 2Z2,0,"2,260",21940
2140051,8229,H1E 7M8,0,"2,550",25100
2105637,8472,H1E 4C3,0,"1,880",19590
2004649,12128,H1E 6B2,0,"3,130",30620
2006764,12223,H1E 1X7,0,"2,970",29030
2044214,11865,H1E 6G2,0,"2,740",26340
2019252,11705,H1E 2Z2,0,"2,260",21940
2140051,8229,H1E 7M8,0,"2,550",25100
2043241,11812,H1E 3R9,0,"1,210",12330
2105637,8472,H1E 4C3,0,"1,880",19590
2004649,12128,H1E 6B2,0,"3,130",30620
2006764,12223,H1E 1X7,0,"2,970",29030
2044214,11865,H1E 6G2,0,"2,740",26340
2019252,11705,H1E 2Z2,0,"2,260",21940
2140051,8229,H1E 7M8,0,"2,550",25100
2043241,11812,H1E 3R9,0,"1,210",12330
2105373,8579,H1E 4Y9,0,"1,550",15850
2105373,8579,H1E 4Y9,0,710,7040
2105373,8579,H1E 4Y9,0,"1,110",11320
2105373,8579,H1E 4Y9,0,790,7990
2105373,8579,H1E 4Y9,0,790,8080
2105373,8579,H1E 4Y9,0,"1,310",13980
2105373,8579,H1E 4Y9,0,"1,800",18090
2105373,8579,H1E 4Y9,0,"1,830",17510
2105637,8472,H1E 4C3,0,"1,880",19590
2004649,12128,H1E 6B2,0,"3,130",30620
2006764,12223,H1E 1X7,0,"2,970",29030
2044214,11865,H1E 6G2,0,"2,740",26340
2019252,11705,H1E 2Z2,0,"2,260",21940
2140051,8229,H1E 7M8,0,"2,550",25100
2043241,11812,H1E 3R9,0,"1,210",12330
2105373,8579,H1E 4Y9,0,"1,550",15850
2105373,8579,H1E 4Y9,0,710,7040
2105373,8579,H1E 4Y9,0,"1,110",11320
2105373,8579,H1E 4Y9,0,790,7990
2105373,8579,H1E 4Y9,0,790,8080
2105373,8579,H1E 4Y9,0,"1,310",13980
2105373,8579,H1E 4Y9,0,"1,800",18090
2105373,8579,H1E 4Y9,0,"1,830",17510
2044344,12320,H1E 4K9,0,"2,660",26530
2105837,8743,H1E 5T3,0,"2,050",20170
2105837,8743,H1E 5T3,0,"2,050",20170
2005962,11640,H1E 3E6,0,"2,950",28340
2105796,8574,H1E 3Z6,0,"1,850",18530
2105796,8574,H1E 3Z6,0,"1,850",18530
5197471,8256,H1E 6Y4,0,"1,910",18750
2105796,8574,H1E 3Z6,0,"1,850",18530
5197471,8256,H1E 6Y4,0,"1,910",18750
2004880,11715,H1E 3K1,0,"2,610",25010
2105796,8574,H1E 3Z6,0,"1,850",18530
5197471,8256,H1E 6Y4,0,"1,910",18750
2004880,11715,H1E 3K1,0,"2,610",25010
2140386,7890,H1E 3K4,0,"2,740",27270
2105796,8574,H1E 3Z6,0,"1,850",18530
5197471,8256,H1E 6Y4,0,"1,910",18750
2004880,11715,H1E 3K1,0,"2,610",25010
2140386,7890,H1E 3K4,0,"2,740",27270
2105671,8518,H1E 4X9,0,"2,920",27830
2105796,8574,H1E 3Z6,0,"1,850",18530
5197471,8256,H1E 6Y4,0,"1,910",18750
2004880,11715,H1E 3K1,0,"2,610",25010
2140386,7890,H1E 3K4,0,"2,740",27270
