Index,ID_UEV,Tract
19,01035148,0149.00
261,05067391,0149.00
280,01034798,0149.00
369,01034440,0149.00
429,05005829,0149.00
484,01034714,0149.00
540,01035298,0149.00
583,01035319,0149.00
661,01034459,0149.00
175,01096864,0148.00
185,01031914,0148.00
188,01116146,0148.00
510,01031887,0148.00
548,01030896,0148.00
363,01018136,0146.00
427,01017765,0146.00
445,01018140,0146.00
549,01018076,0146.00
551,01017886,0146.00
629,01017398,0146.00
675,05191013,0146.00
696,01017647,0146.00
705,01017888,0146.00
747,01104258,0146.00
876,01017984,0146.00
906,01103524,0146.00
18,01115361,0147.00
46,01029136,0147.00
157,01030533,0147.00
158,01028863,0147.00
195,01029134,0147.00
273,01030500,0147.00
464,01030024,0147.00
527,02165796,0147.00
564,01028878,0147.00
602,01030022,0147.00
692,01033950,0147.00
693,01030504,0147.00
854,01034074,0147.00
929,01033946,0147.00
948,01028893,0147.00
117,01035074,0149.00
196,01035283,0149.00
280,01034424,0149.00
386,01034852,0149.00
406,05104350,0149.00
613,01034789,0149.00
810,01116088,0149.00
271,01030914,0148.00
661,05169475,0148.00
166,01017803,0146.00
361,01018137,0146.00
451,01017634,0146.00
482,01017383,0146.00
659,05019787,0146.00
718,01017868,0146.00
784,01018153,0146.00
959,01017523,0146.00
14,05152675,0147.00
21,01029593,0147.00
22,01033929,0147.00
28,01096942,0147.00
66,05037056,0147.00
81,01029513,0147.00
94,01030580,0147.00
155,01029114,0147.00
305,01029948,0147.00
694,01118336,0147.00
730,05037056,0147.00
750,05152463,0147.00
824,01029994,0147.00
926,01030594,0147.00
38,01034797,0149.00
236,01035322,0149.00
306,01035285,0149.00
389,01035275,0149.00
414,01034787,0149.00
459,01097431,0149.00
692,01035290,0149.00
704,01079593,0149.00
740,01128997,0149.00
756,01035106,0149.00
930,01034153,0149.00
975,01035126,0149.00
130,01031594,0148.00
165,01031906,0148.00
302,01031863,0148.00
324,01031567,0148.00
657,01031941,0148.00
809,02165394,0148.00
953,01031955,0148.00
28,01131577,0146.00
103,01018273,0146.00
155,01017975,0146.00
184,01017503,0146.00
194,01017870,0146.00
242,01018041,0146.00
